tool,pid,dataset,session,index,action,time,data,fields,fields_count,is_aggregated,vars,vars_count,selected_fields,selected_fields_count,selected_vars,selected_vars_count,has_extra_field,isDrilldown,shorthand,spec,marktype,tooltip_count,hovered_data,bookmark_removed
polestar,14,Birdstrikes,1,224,BOOKMARK_ADD,3/24/2015 17:24:00,"""mark=bar|x=When__Time_of_day,O|y=sum_Cost__Total_$,Q""","sum_Cost__Total_$,Q|When__Time_of_day,O",2,TRUE,"Cost__Total_$,When__Time_of_day",2,,,,,,,"mark=bar|x=When__Time_of_day,O|y=sum_Cost__Total_$,Q","{""marktype"":""bar"",""enc"":{""x"":{""type"":""O"",""name"":""When__Time_of_day""},""y"":{""type"":""Q"",""name"":""Cost__Total_$"",""aggr"":""sum""}}}",bar,,,FALSE
polestar,14,Birdstrikes,1,255,BOOKMARK_ADD,3/24/2015 17:25:00,"""mark=bar|x=Aircraft__Airline_Operator,O|y=sum_Cost__Total_$,Q""","Aircraft__Airline_Operator,O|sum_Cost__Total_$,Q",2,TRUE,"Aircraft__Airline_Operator,Cost__Total_$",2,,,,,,,"mark=bar|x=Aircraft__Airline_Operator,O|y=sum_Cost__Total_$,Q","{""marktype"":""bar"",""enc"":{""x"":{""type"":""O"",""name"":""Aircraft__Airline_Operator""},""y"":{""type"":""Q"",""name"":""Cost__Total_$"",""aggr"":""sum""}}}",bar,,,FALSE
polestar,14,Birdstrikes,1,290,BOOKMARK_ADD,3/24/2015 17:27:00,"""mark=bar|x=Aircraft__Airline_Operator,O|y=sum_Cost__Total_$,Q|color=Origin_State,O""","Aircraft__Airline_Operator,O|sum_Cost__Total_$,Q|Origin_State,O",3,TRUE,"Aircraft__Airline_Operator,Cost__Total_$,Origin_State",3,,,,,,,"mark=bar|x=Aircraft__Airline_Operator,O|y=sum_Cost__Total_$,Q|color=Origin_State,O","{""marktype"":""bar"",""enc"":{""x"":{""type"":""O"",""name"":""Aircraft__Airline_Operator""},""y"":{""type"":""Q"",""name"":""Cost__Total_$"",""aggr"":""sum""},""color"":{""type"":""O"",""name"":""Origin_State""}}}",bar,,,FALSE
polestar,14,Birdstrikes,1,302,BOOKMARK_ADD,3/24/2015 17:27:00,"""mark=bar|x=Aircraft__Airline_Operator,O|y=sum_Cost__Total_$,Q|color=Airport__Name,O""","Aircraft__Airline_Operator,O|Airport__Name,O|sum_Cost__Total_$,Q",3,TRUE,"Aircraft__Airline_Operator,Airport__Name,Cost__Total_$",3,,,,,,,"mark=bar|x=Aircraft__Airline_Operator,O|y=sum_Cost__Total_$,Q|color=Airport__Name,O","{""marktype"":""bar"",""enc"":{""x"":{""type"":""O"",""name"":""Aircraft__Airline_Operator""},""y"":{""type"":""Q"",""name"":""Cost__Total_$"",""aggr"":""sum""},""color"":{""type"":""O"",""name"":""Airport__Name""}}}",bar,,,FALSE
polestar,14,Birdstrikes,1,390,BOOKMARK_ADD,3/24/2015 17:29:00,"""mark=bar|x=Wildlife__Size,O|y=sum_Cost__Total_$,Q""","sum_Cost__Total_$,Q|Wildlife__Size,O",2,TRUE,"Cost__Total_$,Wildlife__Size",2,,,,,,,"mark=bar|x=Wildlife__Size,O|y=sum_Cost__Total_$,Q","{""marktype"":""bar"",""enc"":{""x"":{""type"":""O"",""name"":""Wildlife__Size""},""y"":{""type"":""Q"",""name"":""Cost__Total_$"",""aggr"":""sum""}}}",bar,,,FALSE
polestar,14,Birdstrikes,1,459,BOOKMARK_ADD,3/24/2015 17:31:00,"""mark=bar|x=Wildlife__Size,O|y=sum_Cost__Total_$,Q|color=Origin_State,O""","sum_Cost__Total_$,Q|Origin_State,O|Wildlife__Size,O",3,TRUE,"Cost__Total_$,Origin_State,Wildlife__Size",3,,,,,,,"mark=bar|x=Wildlife__Size,O|y=sum_Cost__Total_$,Q|color=Origin_State,O","{""marktype"":""bar"",""enc"":{""x"":{""type"":""O"",""name"":""Wildlife__Size""},""y"":{""type"":""Q"",""name"":""Cost__Total_$"",""aggr"":""sum""},""color"":{""type"":""O"",""name"":""Origin_State""}}}",bar,,,FALSE
polestar,14,Birdstrikes,1,536,BOOKMARK_ADD,3/24/2015 17:34:00,"""mark=bar|x=Wildlife__Species,O|y=sum_Cost__Total_$,Q|color=Origin_State,O""","sum_Cost__Total_$,Q|Origin_State,O|Wildlife__Species,O",3,TRUE,"Cost__Total_$,Origin_State,Wildlife__Species",3,,,,,,,"mark=bar|x=Wildlife__Species,O|y=sum_Cost__Total_$,Q|color=Origin_State,O","{""marktype"":""bar"",""enc"":{""x"":{""type"":""O"",""name"":""Wildlife__Species""},""y"":{""type"":""Q"",""name"":""Cost__Total_$"",""aggr"":""sum""},""color"":{""type"":""O"",""name"":""Origin_State""}}}",bar,,,FALSE
polestar,14,Birdstrikes,1,640,BOOKMARK_ADD,3/24/2015 17:36:00,"""mark=bar|x=Aircraft__Make_Model,O|y=sum_Cost__Total_$,Q|color=When__Time_of_day,O""","Aircraft__Make_Model,O|sum_Cost__Total_$,Q|When__Time_of_day,O",3,TRUE,"Aircraft__Make_Model,Cost__Total_$,When__Time_of_day",3,,,,,,,"mark=bar|x=Aircraft__Make_Model,O|y=sum_Cost__Total_$,Q|color=When__Time_of_day,O","{""marktype"":""bar"",""enc"":{""x"":{""type"":""O"",""name"":""Aircraft__Make_Model""},""y"":{""type"":""Q"",""name"":""Cost__Total_$"",""aggr"":""sum""},""color"":{""type"":""O"",""name"":""When__Time_of_day""}}}",bar,,,FALSE
polestar,14,Birdstrikes,1,660,BOOKMARK_ADD,3/24/2015 17:37:00,"""mark=bar|x=Aircraft__Make_Model,O|y=avg_Cost__Total_$,Q|color=When__Time_of_day,O""","Aircraft__Make_Model,O|avg_Cost__Total_$,Q|When__Time_of_day,O",3,TRUE,"Aircraft__Make_Model,Cost__Total_$,When__Time_of_day",3,,,,,,,"mark=bar|x=Aircraft__Make_Model,O|y=avg_Cost__Total_$,Q|color=When__Time_of_day,O","{""marktype"":""bar"",""enc"":{""x"":{""type"":""O"",""name"":""Aircraft__Make_Model""},""y"":{""type"":""Q"",""name"":""Cost__Total_$"",""aggr"":""avg""},""color"":{""type"":""O"",""name"":""When__Time_of_day""}}}",bar,,,FALSE
polestar,14,Birdstrikes,1,667,BOOKMARK_ADD,3/24/2015 17:37:00,"""mark=bar|x=Aircraft__Make_Model,O|y=avg_Cost__Total_$,Q""","Aircraft__Make_Model,O|avg_Cost__Total_$,Q",2,TRUE,"Aircraft__Make_Model,Cost__Total_$",2,,,,,,,"mark=bar|x=Aircraft__Make_Model,O|y=avg_Cost__Total_$,Q","{""marktype"":""bar"",""enc"":{""x"":{""type"":""O"",""name"":""Aircraft__Make_Model""},""y"":{""type"":""Q"",""name"":""Cost__Total_$"",""aggr"":""avg""}}}",bar,,,FALSE
